구분,시도,용도,차종,유종,일평균주행거리
1,경기,비사업용,화물차 일반형,경유,32.18947368
2,강원,사업용,화물차 일반형,경유,20.77534247
3,서울,비사업용,승용차 일반형,휘발유,44.56190476
4,서울,비사업용,승용차 일반형,기타,3.054576995
5,충북,비사업용,승용차 일반형,휘발유,6.110309867
6,전남,비사업용,특수차 견인형,경유,1.395939086
7,경기,비사업용,특수차 견인형,경유,1.184
8,전북,비사업용,승용차 기타형,경유,43.98744632
9,서울,비사업용,특수차 특수작업형,경유,0.873994638
10,서울,비사업용,승용차 일반형,휘발유,11.12307692
11,경북,사업용,특수차 특수작업형,경유,13.59103641
12,부산,비사업용,승용차 일반형,휘발유,10.53733985
13,대구,비사업용,승용차 일반형,휘발유,9.626573427
14,경남,비사업용,화물차 특수용도형,경유,1.316326531
15,경기,비사업용,화물차 특수용도형,경유,0.391644909
16,제주,비사업용,승용차 일반형,휘발유,18.67375949
17,강원,비사업용,승합차 일반형,LPG,2.856948229
18,전남,비사업용,화물차 특수용도형,경유,11.72086721
19,광주,비사업용,승용차 일반형,휘발유,13.36176066
20,서울,비사업용,승용차 일반형,휘발유,36.30795487
21,충북,비사업용,승용차 일반형,휘발유,31.8931582
22,강원,비사업용,화물차 특수용도형,경유,1.798882682
23,강원,비사업용,화물차 특수용도형,경유,23.75452196
24,충북,비사업용,화물차 특수용도형,경유,0.712328767
25,강원,비사업용,화물차 특수용도형,경유,0.964959569
26,부산,비사업용,승용차 일반형,휘발유,7.471724138
27,경기,비사업용,승용차 일반형,휘발유,41.59511568
28,서울,비사업용,승용차 일반형,휘발유,5.946475196
29,서울,비사업용,승용차 일반형,휘발유,19.675
30,서울,비사업용,승용차 일반형,휘발유,7.667142857
31,경기,비사업용,승용차 일반형,휘발유,7.697084918
32,부산,비사업용,승용차 일반형,휘발유,12.04281768
33,서울,비사업용,승용차 일반형,휘발유,6.050824176
34,경기,비사업용,승용차 일반형,휘발유,6.608409987
35,서울,비사업용,승용차 일반형,휘발유,34.84882108
36,서울,비사업용,승용차 일반형,휘발유,9.810554804
37,경기,비사업용,승용차 일반형,휘발유,69.01170351
38,서울,비사업용,승용차 일반형,휘발유,8.813953488
39,서울,비사업용,승용차 일반형,휘발유,7.060191518
40,서울,비사업용,승용차 기타형,휘발유,16.27330779
41,서울,비사업용,승용차 다목적형,휘발유,7.918918919
42,경기,비사업용,화물차 특수용도형,경유,1.077142857
43,경기,비사업용,승용차 일반형,휘발유,20.61569689
44,경기,비사업용,승용차 일반형,휘발유,34.49755955
45,서울,비사업용,승용차 일반형,휘발유,6.891361257
46,서울,비사업용,승용차 일반형,휘발유,9.384615385
47,대구,비사업용,승용차 일반형,휘발유,5.322404372
48,경기,비사업용,승용차 일반형,휘발유,25.14540816
49,경기,비사업용,승용차 일반형,휘발유,6.909712722
50,경기,비사업용,승용차 일반형,휘발유,11.49932886
51,대구,비사업용,승용차 일반형,휘발유,9.210866753
52,경기,비사업용,승용차 일반형,휘발유,11.88186813
53,경기,비사업용,승용차 일반형,휘발유,22.22411533
54,서울,비사업용,승용차 일반형,휘발유,7.651785714
55,경기,비사업용,승용차 일반형,휘발유,5.44972067
56,경기,비사업용,승용차 일반형,휘발유,55.86736021
57,서울,비사업용,승용차 다목적형,휘발유,7.50879567
58,경기,비사업용,승용차 일반형,휘발유,11.51450189
59,서울,비사업용,승용차 일반형,휘발유,7.457489879
60,대전,비사업용,승용차 기타형,휘발유,6.297587131
61,경남,비사업용,화물차 특수용도형,경유,27.99204244
62,충남,비사업용,특수차 구난형,경유,0.209677419
63,부산,비사업용,특수차 구난형,경유,0.433802817
64,충남,사업용,특수차 구난형,경유,5.06043956
65,충북,비사업용,화물차 일반형,경유,23.89548023
66,울산,비사업용,화물차 일반형,경유,5.75900277
67,강원,비사업용,화물차 일반형,경유,16.05135135
68,경북,비사업용,승용차 일반형,휘발유,9.124301676
69,울산,비사업용,특수차 특수작업형,경유,1.925824176
70,서울,비사업용,승합차 일반형,휘발유,2.744279946
71,전남,비사업용,화물차 특수용도형,경유,7.615789474
72,전북,사업용,화물차 특수용도형,경유,14.66391185
73,울산,비사업용,화물차 특수용도형,경유,2.052631579
74,강원,사업용,화물차 특수용도형,경유,128.6005587
75,강원,비사업용,화물차 특수용도형,경유,0.151785714
76,경기,사업용,특수차 구난형,경유,5.15920398
77,강원,사업용,특수차 특수작업형,경유,8.906849315
78,경기,비사업용,화물차 밴형,경유,5.139737171
79,전북,사업용,특수차 특수작업형,경유,19.04069767
80,충북,사업용,특수차 구난형,경유,7.332089552
81,전북,사업용,특수차 특수작업형,경유,5.662686567
82,전북,사업용,특수차 구난형,경유,3.693627451
83,전북,비사업용,화물차 특수용도형,경유,1.805327869
84,전북,비사업용,화물차 일반형,경유,0.923076923
85,전북,사업용,특수차 특수작업형,경유,5.853403141
86,강원,사업용,화물차 덤프형,경유,36.45697329
87,경기,비사업용,특수차 견인형,경유,4.514211886
88,충남,사업용,화물차 특수용도형,경유,19.77453581
89,전북,비사업용,특수차 특수작업형,경유,17.92302781
90,경기,사업용,특수차 특수작업형,경유,11.43116883
91,울산,사업용,특수차 특수작업형,경유,24.38438438
92,경남,비사업용,승합차 특수용도형,경유,0.18630137
93,경남,비사업용,화물차 특수용도형,경유,0.707988981
94,강원,비사업용,화물차 일반형,경유,24.93922652
95,대전,비사업용,특수차 특수작업형,경유,23.52800512
96,전북,사업용,특수차 구난형,경유,12.17746479
97,인천,비사업용,화물차 일반형,LPG,4.918918919
98,서울,비사업용,승용차 일반형,휘발유,1.451008646
99,전북,사업용,특수차 특수작업형,경유,33.11263736
100,경북,사업용,특수차 특수작업형,경유,9.051813472
101,전북,사업용,특수차 특수작업형,경유,5.126373626
102,충남,비사업용,화물차 일반형,휘발유,32.0136612
103,경기,비사업용,화물차 일반형,휘발유,10.85508689
104,인천,비사업용,승용차 기타형,휘발유,6.46866485
105,경남,사업용,특수차 특수작업형,경유,49.2884097
106,서울,비사업용,승용차 일반형,휘발유,8.863636364
107,경기,비사업용,승용차 일반형,휘발유,27.72701556
108,광주,비사업용,승용차 일반형,휘발유,6.816107383
109,경기,비사업용,승용차 일반형,휘발유,61.46732955
110,경기,비사업용,승용차 일반형,휘발유,26.20451694
111,충남,비사업용,승용차 일반형,휘발유,13.57243618
112,경기,비사업용,승용차 일반형,휘발유,41.00518807
113,강원,비사업용,화물차 특수용도형,경유,13.95286885
114,서울,비사업용,승용차 일반형,휘발유,15.39089692
115,서울,비사업용,승용차 일반형,휘발유,5.163804491
116,서울,비사업용,승용차 일반형,휘발유,12.71563342
117,서울,비사업용,승용차 일반형,휘발유,7.078431373
118,경기,비사업용,승용차 일반형,휘발유,56.15220294
119,전북,비사업용,승용차 일반형,휘발유,17.02486911
120,서울,비사업용,승용차 일반형,휘발유,12.16032609
121,서울,비사업용,승용차 일반형,휘발유,15.77209945
122,서울,비사업용,승용차 일반형,경유,12.36657682
123,경기,비사업용,승용차 일반형,휘발유,27.0853342
124,경기,비사업용,승용차 일반형,휘발유,9.456492637
125,부산,비사업용,승용차 일반형,휘발유,11.36808237
126,경남,비사업용,승용차 일반형,휘발유,19.72237197
127,경기,비사업용,승용차 일반형,휘발유,53.18951613
128,서울,비사업용,승용차 일반형,휘발유,20.69060773
129,경기,비사업용,승용차 일반형,휘발유,10.60589812
130,전북,비사업용,승용차 일반형,휘발유,10.88227147
131,대전,비사업용,승용차 일반형,휘발유,27.46787709
132,서울,비사업용,승용차 일반형,휘발유,8.426778243
133,울산,비사업용,승용차 일반형,휘발유,27.98809524
134,서울,비사업용,승용차 일반형,휘발유,7.24327957
135,대구,비사업용,승용차 일반형,휘발유,49.39163916
136,부산,비사업용,승용차 일반형,휘발유,5.87004104
137,경기,비사업용,승용차 일반형,휘발유,24.2911726
138,경기,비사업용,승용차 일반형,휘발유,21.40425532
139,경남,비사업용,승용차 일반형,휘발유,19.6630137
140,인천,비사업용,승용차 일반형,휘발유,39.85913529
141,충북,비사업용,승용차 일반형,휘발유,15.5802139
142,인천,비사업용,승용차 일반형,휘발유,6.371584699
143,서울,비사업용,승용차 일반형,휘발유,10.62582345
144,서울,비사업용,승용차 일반형,휘발유,16.92777778
145,경기,비사업용,승용차 일반형,휘발유,30.16942149
146,경기,비사업용,승용차 일반형,휘발유,38.45081967
147,강원,비사업용,승용차 일반형,휘발유,11.70121131
148,서울,비사업용,승용차 일반형,휘발유,20.52997275
149,경기,비사업용,승용차 일반형,휘발유,34.96137931
150,경기,비사업용,승용차 일반형,휘발유,12.00919842
151,대구,비사업용,승용차 일반형,휘발유,11.36266667
152,경기,비사업용,승용차 일반형,휘발유,8.386083053
153,경기,비사업용,승용차 기타형,휘발유,18.85390071
154,경기,비사업용,승합차 특수용도형,경유,2.116402116
155,경기,비사업용,승합차 특수용도형,경유,22.75146199
156,경기,비사업용,승합차 특수용도형,경유,31.35924933
157,경기,비사업용,승합차 특수용도형,경유,63.56338028
158,충북,비사업용,화물차 특수용도형,경유,12.05865922
159,전북,비사업용,화물차 특수용도형,경유,8.457711443
160,충남,비사업용,화물차 특수용도형,경유,0.199453552
161,광주,비사업용,화물차 특수용도형,경유,11.30810811
162,서울,비사업용,화물차 특수용도형,경유,0.435616438
163,서울,비사업용,화물차 특수용도형,경유,5.452316076
164,경기,비사업용,특수차 구난형,경유,11.93665158
165,전북,비사업용,특수차 구난형,경유,44.64145658
166,부산,비사업용,특수차 구난형,경유,60.90340909
167,전북,사업용,특수차 구난형,경유,4.117788462
168,경북,비사업용,특수차 구난형,경유,0.970930233
169,전북,비사업용,특수차 구난형,경유,2.098321343
170,강원,비사업용,특수차 구난형,경유,0.091286307
171,서울,비사업용,특수차 특수작업형,경유,0.291044776
172,경기,비사업용,승용차 일반형,휘발유,28.20380435
173,경기,비사업용,승용차 일반형,휘발유,30.75635877
174,서울,비사업용,승용차 일반형,휘발유,13.33760684
175,서울,비사업용,승용차 일반형,휘발유,36.36973684
176,서울,비사업용,승용차 일반형,휘발유,17.78968792
177,경기,비사업용,승용차 일반형,휘발유,32.48821082
178,서울,비사업용,승용차 일반형,휘발유,18.43708609
179,충남,비사업용,승용차 일반형,휘발유,11.37103448
180,부산,비사업용,승용차 일반형,휘발유,7.716850829
181,경기,비사업용,승용차 일반형,휘발유,47.66842105
182,인천,비사업용,승용차 일반형,휘발유,6.343124166
183,서울,비사업용,승용차 일반형,휘발유,8.813229572
184,대전,비사업용,승용차 일반형,휘발유,28.00820793
185,경기,비사업용,승용차 일반형,휘발유,41.80998613
186,경북,비사업용,승용차 일반형,휘발유,46.72242875
187,제주,비사업용,승용차 일반형,휘발유,8.23655914
188,경기,비사업용,승용차 일반형,휘발유,26.74029451
189,충남,비사업용,승용차 일반형,휘발유,9.185806452
190,대구,비사업용,승용차 일반형,휘발유,7.110803324
191,부산,비사업용,승용차 일반형,휘발유,15.41086351
192,경기,비사업용,승용차 일반형,경유,42.76184032
193,경기,비사업용,승용차 일반형,휘발유,9.362193362
194,서울,비사업용,승용차 일반형,휘발유,17.60335917
195,경북,비사업용,화물차 덤프형,경유,19.12661499
196,충북,비사업용,화물차 덤프형,경유,17.35955056
197,충남,비사업용,화물차 덤프형,경유,8.005089059
198,경기,사업용,화물차 덤프형,경유,32.26415094
199,충남,비사업용,화물차 덤프형,경유,48.20218579
200,서울,사업용,화물차 덤프형,경유,39.13649025
201,서울,사업용,화물차 덤프형,경유,46.136
202,충북,비사업용,화물차 덤프형,경유,22.50958904
203,경기,비사업용,화물차 덤프형,경유,10.74160207
204,강원,비사업용,화물차 덤프형,경유,45.54135338
205,경기,비사업용,화물차 덤프형,경유,12.63561077
206,서울,사업용,화물차 덤프형,경유,46.67455621
207,서울,사업용,화물차 덤프형,경유,35.97619048
208,대구,비사업용,화물차 덤프형,경유,6.165467626
209,전남,비사업용,화물차 특수용도형,경유,2.388101983
210,경기,비사업용,화물차 특수용도형,경유,2.367924528
211,경북,비사업용,화물차 특수용도형,경유,4.087591241
212,서울,비사업용,화물차 특수용도형,경유,0.103448276
213,부산,비사업용,화물차 특수용도형,경유,1.734375
214,경기,비사업용,화물차 특수용도형,경유,10.85117493
215,충북,비사업용,화물차 특수용도형,경유,12.07100592
216,경기,비사업용,화물차 특수용도형,경유,4.410526316
217,경기,비사업용,특수차 구난형,LPG,3.448680352
218,경기,비사업용,특수차 구난형,경유,48.33333333
219,서울,비사업용,특수차 견인형,경유,45.02970297
220,경남,비사업용,특수차 특수작업형,경유,2.046783626
221,서울,비사업용,특수차 특수작업형,경유,4.798295455
222,경기,비사업용,승용차 일반형,휘발유,18.05426357
223,경기,비사업용,승용차 일반형,휘발유,30.19111709
224,전남,비사업용,승용차 일반형,휘발유,51.68551724
225,서울,비사업용,승용차 일반형,휘발유,6.270635995
226,충남,비사업용,승용차 일반형,휘발유,24.16055626
227,경기,비사업용,승용차 일반형,휘발유,13.90621039
228,경기,비사업용,승용차 일반형,휘발유,30.18659035
229,서울,비사업용,승용차 일반형,휘발유,41.06232687
230,충남,비사업용,승용차 일반형,휘발유,9.535956581
231,경기,비사업용,승용차 일반형,휘발유,33.06388527
232,경기,비사업용,승용차 일반형,휘발유,28.37325905
233,경기,비사업용,승용차 일반형,휘발유,49.43053645
234,서울,비사업용,승용차 일반형,휘발유,14.48089592
235,충북,비사업용,승용차 일반형,휘발유,35.43920596
236,울산,비사업용,승용차 일반형,휘발유,15.76839237
237,서울,비사업용,승용차 일반형,휘발유,10.57988981
238,부산,비사업용,승용차 일반형,휘발유,16.21757322
239,강원,비사업용,승용차 일반형,휘발유,8.788732394
240,경남,비사업용,승용차 일반형,휘발유,22.84456671
241,경남,비사업용,승용차 일반형,휘발유,46.60625748
242,경남,비사업용,승용차 일반형,휘발유,85.18052014
243,서울,비사업용,승용차 일반형,휘발유,8
